Cluster#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
10,58,68,101,103,132,137,163,175,194,274,280,290,311,317,362,428,522,567,618,626,634,647,660,663,692,705,818,820,856,1029,1062,1073,1111,1139,1191,1198,1199,1239,1304,1307,1332,1359,1412,1422,1434,1446,1530,1544,1708,1734,1879,1896,2003,2022,2029,2034,2079,2083,2133,2197,2226,2252,2261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15,35,36,63,96,129,144,164,229,236,250,257,264,268,272,283,303,329,367,368,379,391,445,446,468,485,489,516,518,523,544,552,575,588,617,642,676,689,704,716,728,740,748,766,804,815,835,839,848,910,919,966,997,1011,1070,1100,1163,1178,1211,1324,1335,1346,1367,1424.0,1483.0,1487.0,1587.0,1632.0,1677.0,1685.0,1690.0,1705.0,1755.0,1767.0,1792.0,1855.0,1890.0,1906.0,1923.0,1948.0,1960.0,1967.0,2007.0,2048.0,2094.0,2117.0,2119.0,2131.0,2143.0,2199.0,2247.0,2267.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,34,84,145,263,279,285,287,302,313,440,502,517,538,551,568,576,629,645,686,698,711,734,746,764,865,880,888,925,950,953,961,983,1000,1015,1078,1164,1182,1190,1219,1276,1349,1357,1402,1404,1414,1471,1476,1479,1493,1496,1571,1572,1604,1650,1651,1700,1766,1782,1810,1815,1816,1904,1912,1915.0,1941.0,1973.0,2051.0,2058.0,2068.0,2093.0,2120.0,2128.0,2193.0,2232.0,2286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18,31,161,196,310,326,336,346,351,393,411,414,431,434,451,459,473,510,563,564,616,630,633,659,758,778,823,830,849,859,884,926,998,1018,1023,1037,1039,1045,1046,1064,1091,1094,1126,1128,1169,1192,1218,1251,1309,1350,1366,1396,1447,1473,1527,1555,1580,1584,1675,1682,1737,1758,1763,1768.0,1800.0,1806.0,1814.0,1832.0,1922.0,1942.0,1953.0,1981.0,1990.0,2023.0,2053.0,2088.0,2115.0,2129.0,2152.0,2293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10,32,59,65,111,184,192,197,206,208,209,211,224,256,265,294,304,305,306,332,335,344,349,399,415,422,426,484,487,490,494,501,524,533,536,543,555,565,578,582,612,614,644,685,702,709,710,719,722,730,736,752,767,777,788,803,821,831,867,935,944,959,964,984.0,988.0,999.0,1002.0,1005.0,1026.0,1053.0,1058.0,1079.0,1146.0,1150.0,1187.0,1195.0,1236.0,1342.0,1360.0,1387.0,1420.0,1450.0,1464.0,1539.0,1552.0,1554.0,1602.0,1603.0,1624.0,1674.0,1688.0,1696.0,1732.0,1749.0,1805.0,1831.0,1835.0,1856.0,1872.0,1893.0,1910.0,1985.0,1989.0,1991.0,1995.0,2012.0,2033.0,2074.0,2075.0,2095.0,2105.0,2177.0,2215.0,2217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,23,56,57,70,72,98,112,117,118,128,140,142,239,244,252,254,267,277,297,339,342,381,389,398,430,457,492,495,504,526,535,561,573,594,599,631,654,666,682,737,739,742,743,759,763,790,796,808,845,882,914,955,958,975,996,1048,1056,1071,1101,1102,1104,1115,1134,1171.0,1179.0,1186.0,1201.0,1210.0,1226.0,1250.0,1265.0,1277.0,1284.0,1296.0,1310.0,1315.0,1339.0,1362.0,1363.0,1398.0,1416.0,1437.0,1453.0,1456.0,1480.0,1542.0,1543.0,1547.0,1556.0,1578.0,1597.0,1629.0,1636.0,1638.0,1642.0,1663.0,1753.0,1790.0,1811.0,1819.0,1824.0,1826.0,1841.0,1858.0,1864.0,1927.0,1937.0,1952.0,1955.0,2010.0,2016.0,2027.0,2038.0,2043.0,2056.0,2085.0,2097.0,2113.0,2122.0,2148.0,2155.0,2159.0,2167.0,2174.0,2181.0,2189.0,2196.0,2198.0,2233.0,2249.0,2256.0,2272.0,2273.0,2276.0,2283.0,2302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9,24,74,87,185,190,217,227,325,337,466,499,509,511,554,557,560,574,579,607,610,636,643,667,706,724,744,749,757,765,774,801,812,813,837,864,883,885,904,907,939,948,954,1003,1006,1007,1009,1016,1040,1140,1144,1149,1154,1166,1183,1197,1207,1244,1302,1305,1328,1344,1386,1411.0,1461.0,1505.0,1523.0,1537.0,1595.0,1609.0,1610.0,1615.0,1628.0,1697.0,1698.0,1709.0,1774.0,1784.0,1785.0,1807.0,1840.0,1845.0,1862.0,1881.0,1917.0,1936.0,1939.0,1975.0,1983.0,1994.0,1998.0,1999.0,2013.0,2041.0,2073.0,2110.0,2116.0,2137.0,2225.0,2228.0,2255.0,2257.0,2259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,14,19,20,22,27,46,47,75,81,93,94,119,131,135,136,146,151,167,180,186,199,207,245,260,271,276,314,320,322,330,333,350,358,360,370,388,390,407,412,423,462,474,500,512,537,547,583,596,597,598,600,632,651,655,674,712,714,718,747,751,753,760,786,807.0,854.0,866.0,868.0,916.0,920.0,934.0,945.0,946.0,956.0,960.0,965.0,969.0,971.0,981.0,994.0,1004.0,1014.0,1020.0,1021.0,1052.0,1076.0,1081.0,1090.0,1095.0,1096.0,1105.0,1108.0,1110.0,1117.0,1122.0,1135.0,1156.0,1170.0,1194.0,1217.0,1220.0,1228.0,1247.0,1248.0,1254.0,1256.0,1262.0,1266.0,1267.0,1281.0,1290.0,1325.0,1353.0,1356.0,1371.0,1413.0,1415.0,1417.0,1433.0,1443.0,1504.0,1507.0,1558.0,1608.0,1617.0,1655.0,1657.0,1666.0,1692.0,1703.0,1706.0,1716.0,1722.0,1733.0,1743.0,1747.0,1765.0,1776.0,1802.0,1817.0,1820.0,1829.0,1830.0,1848.0,1857.0,1866.0,1869.0,1887.0,1891.0,1901.0,1902.0,1905.0,1909.0,1913.0,1929.0,1956.0,1959.0,1968.0,1969.0,1970.0,1996.0,2017.0,2018.0,2028.0,2031.0,2040.0,2046.0,2047.0,2050.0,2065.0,2077.0,2078.0,2096.0,2103.0,2104.0,2106.0,2114.0,2138.0,2145.0,2149.0,2161.0,2175.0,2178.0,2187.0,2195.0,2202.0,2207.0,2218.0,2234.0,2238.0,2263.0,2269.0,2274.0,2298.0,2301.0
18,21,43,48,60,147,223,237,243,255,262,282,354,382,396,402,448,454,465,475,519,540,621,691,707,735,755,780,782,806,819,824,871,913,942,1001,1028,1072,1086,1148,1151,1159,1185,1231,1241,1261,1320,1326,1358,1410,1438,1481,1499,1515,1517,1521,1535,1551,1581,1593,1607,1618,1622,1630,1646.0,1654.0,1670.0,1672.0,1786.0,1793.0,1797.0,1808.0,1823.0,1833.0,1838.0,1842.0,1859.0,1873.0,1882.0,1943.0,1950.0,1972.0,1988.0,2019.0,2020.0,2042.0,2080.0,2102.0,2112.0,2123.0,2136.0,2142.0,2213.0,2220.0,2231.0,2240.0,2242.0,2275.0,2277.0,2295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,7,8,28,33,85,92,102,104,130,165,191,200,204,299,321,338,374,410,476,478,496,498,627,641,658,699,754,792,810,817,836,840,843,852,893,1010,1047,1055,1060,1132,1142,1153,1173,1227,1232,1243,1252,1313,1327,1338,1352,1381,1428,1432,1468,1510,1585,1614,1620,1626,1669,1718,1729,1744.0,1745.0,1884.0,1885.0,1921.0,1934.0,1945.0,1947.0,1964.0,1979.0,2032.0,2049.0,2052.0,2072.0,2092.0,2173.0,2214.0,2254.0,2285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
